おはよ	おはようからおやすみまで暮らしをみつめるライオンの提供
大麻	入口出口田口です
ぎりぎり	俺がハスラーKID これ果たすだけ 声からす訳 超えられるかDisそれは誰だ？Ha-Ha 俺はJOKER DoopなRhymeで 泣き出す譲ちゃん待ちに待った これが俺のShow Time 壮大キメろ All NightヤバめなFLOWで 沸き出す場内 West Side East Side 上げろHands up!
ギリギリ	俺がハスラーKID これ果たすだけ 声からす訳 超えられるかDisそれは誰だ？Ha-Ha 俺はJOKER DoopなRhymeで 泣き出す譲ちゃん待ちに待った これが俺のShow Time 壮大キメろ All NightヤバめなFLOWで 沸き出す場内 West Side East Side 上げろHands up!
相当	双頭の雷龍
冷静	冷静沈着北村晴男
セーブ	セーブセーバーセ―ベスト
助かる	ラスカルあらいぐま
ほらきた	ほらきたまき
よろしく	よろりんこ菊地凛子
まてまて	まてまてまてまてまてまてぃか
まじ	まじで魔人
いいよ	いいよ～いいよ～松本伊～代～
しましょう	しましょっかサイコショッカー
なにこれ	パリコレ
泣いた	赤鬼じゃん
パッション	ンー！！！ンー！！！ンー！！！
マッスル	やーーー！！！
いえーい	オニスズメ
よすぎ	ケイン・ヨスギ
パターン	パティーン
おつかれ	カツカレー
詐欺	ペリ勘弁
頼む	頼まれる
ワロタ	ワロタピーポー
さくら	(Yeah Yeah)「右へならえ」から踏み出すこの一歩を 打った点が分ける結果 陰と陽だから知っとこう 生きるヒントをかすむ蜃気楼すらも掴む勢い（WOW)今蒔けば種 花咲かす（WOW)やった後言うなら まだ分かるんだ（WOW）そう そりゃ時間なんてのはかかる（WOW)春には大きな花を咲かす
サクラ	(Yeah Yeah)「右へならえ」から踏み出すこの一歩を 打った点が分ける結果 陰と陽だから知っとこう 生きるヒントをかすむ蜃気楼すらも掴む勢い（WOW)今蒔けば種 花咲かす（WOW)やった後言うなら まだ分かるんだ（WOW）そう そりゃ時間なんてのはかかる（WOW)春には大きな花を咲かす
健康	健康、健康、吉田兼好（兼好法師）
入口	出口田口
出口	田口
田口	ギリギリで生きた結果
えらい	えらいざ池田エライザ
５	４、３、２、１、Thunderbirds are go
４	３，２，１、Thunderbirds are go
３	２，１、Thunderbirds are go
２	１、Thunderbirds are go
１	Thunderbirds are go
早すぎ	早すぎた埋葬
ねこ	ねっっっこ！！！
猫	ねっっっこ！！！
ネコ	ねっっっこ！！！
ぐっど	グッチョイ
クマ	の！ぼ！り！べ！つ！と言えばー？く！ま！ぼ！く！じょう！〈クマ牧場！〉愉快な仲間がぁ 楽しい仲間がぁ Yeah！みんな待てるぜー！〈クマ牧場！〉ここはのぼりべーつ！〈クマ牧場〉
登別	の！ぼ！り！べ！つ！と言えばー？く！ま！ぼ！く！じょう！〈クマ牧場！〉愉快な仲間がぁ 楽しい仲間がぁ Yeah！みんな待てるぜー！〈クマ牧場！〉ここはのぼりべーつ！〈クマ牧場〉
右	クラピカ理論
左	クラピカ理論
しらない	存じ０
わからない	存じ０
寿限無	寿限無寿限無五劫の擦り切れ海砂利水魚の水行末雲来末風来末食う寝るところに住むところやぶら小路のぶら小路パイポパイポパイポのシューリンガン、シューリンガンのグーリンダイ、グーリンダイのポンポコピーのポンポコナーの長久命の長助
しりとり	俺のターン！
埼玉	森へおかえり
くそ	ダイオウグソクムシ
やばい	やばいよやばいよ
哲郎	メーテル
メーテル	銀河鉄道の夜
運勢	気分がダウン。ちょっとしたことで落ち込んでしまいがちな日。ミスをしたら早めの修正を心がけること。
占い	思い通りに振る舞うことで、あなたの魅力がより輝く暗示。今日はやりたいことをどんどんロに出してみて。
山	蒼井優さんとの結婚おめでとうございます
昨日	昨日の朝ご飯は？覚えてない？んーお察しします(古畑任三郎)
今日	けふと呼ぶあなたは紫式部
明日	夢にときめけ！明日にきらめけ
明後日	みょうごにちと呼ぶあなたは平泉成
一昨日	今日も昨日も一昨日も謝ることばっか
去年	昨年はお騒がせしました
来年	鬼が笑うよ
今年	とりあえずことよろって感じでよろしく
来週	社長来週の予定はすでに埋まっています
先週	先週の千秋楽はよかった
来月	来月は結婚式の予定です
先月	先月こどもが生まれたんですよ
今月	今月は耐え時だ耐えろ
今週	今週はやなことばっかで謝ることいっぱーい！そゆこと～
時間	時間よーとまれ(森田先生ボ)
いつ	鶴と亀はいつ出会うでしょうか？
どこ	whereを尋ねられる私
誰	誰ンシャンじゃん？
だれ	だ～れ～ハビットソン
どうやって	お前HowHow星人だな
どのように	お前HowHow星人だな
なぜ	Why・M・C・A
トイレ	トイレイトン教授
春	さてはヒルクライムファンだなお前
夏	さてはヒルクライムファンだなお前
秋	さてはヒルクライムファンだなお前
冬	さてはヒルクライムファンだなお前
感情	勘定奉行にお任せあれ
気持ち	チョー気持ちいい
調子	すし調子丸だね
気分	Hey DJ カマせ yeah yeah yeah 気分上々↑↑
君	私の話はいいからさ君のことを話してよ
あなた	私の話はいいからさ君のことを話してよ
あんた	私の話はいいからさ君のことを話してよ
暑	Hold me tight 夢とちゃうのかい
寒	寒い夜は、未だ胸の奥、鐘の音が聞こえる
しゃばい	しゃばしゃばのしゃば
難し	江戸の女　おむず
簡単	そんなの簡単簡単感嘆文！
余裕	そんなの赤子赤子よ
あい	響きだけで強くなれそう
愛	響きだけで強くなれそう
会う	あわんとぞ思う
青	青みがかった緑って結局何色なん？
赤	赤さんを大事に
明る	明るい子が一番タイプ
元気	1年1組一番元気
解決	かいけつゾロリやん
飽き	飽きたら飽和水溶液
浅い	話が結局浅いんだよな、キンコンの西野じゃん
あさましい	浅ましさランキングNo.1をほこります
味	ミスター味っ子
あずま	アズマオウトサキント
暖	暖房の設定温度は低めでお願いします。
新し	新生活応援キャンペーン
熱	熱男～！
厚	厚木本厚木
あったか	クマムシはもう古いよ
跡かた	跡かたない泡沫
危	危険に立ち向かう者、その名は！
甘	人生ほんとあまちゃんよね
怪し	怪しい長と書いて怪長
荒	荒波に立ち向かうのがジェロ、あなたを追って出雲崎
あられ	ひなあられのカロリーはもはやマイナス
ありが	サンキュー安富
学生	問題です。学生生活何年目？
先生	先生トイレ
教授	教授から享受
淡い	淡い恋にあこがれるやつはだいたいいいやつ
あわただし	おちつきなはれ
いかがわし	いかがわしい行為はいずればれるよ、なにか隠してるでしょ、言ってみー
潔い	意外と素直ですね
勇まし	あなたは勇者タイプです。
勇気	もう頑張るしかないですね
いじらし	いじらしいお方
忙	忙しいあなたにはカモミールティーがおすすめ
痛	NO Pain NO Gain
著し	赤井さんはどうしてそんなに大きくなったのか
いとおし	好き
愛し	愛しい人があなたにはいますか？その人を大切にしてください。
好き	付き合ってください
気にな	付き合ってください
恋愛	恋バナをしよう、あれは今から36万・・・いや、1万4000年前だったか
愛	彼女募集中です
忌	この泥棒猫め！！
卑し	欲望丸出し君だ
いやらし	いやらしさにはそれなりに定評があります。
色っぽ	い～ねぇ、いいよ～！別のポーズいってみようか！
うざ	このうざさに対応できないあなたは、私と全く別のタイプ！背後に気を付けて歩こう！
胡散	怪しい商売一筋2年半
後ろめた	罪悪感にさいなまれているね、教会に来るといいね
罪悪	懺悔しなさい
薄い	体の薄い男は信用できない
疑	疑惑に関してはとりあえずオフホワイト
美	そなたは美しい、付き合ってください
鬱陶	そんなにいじめないでくれよ
疎	疎←この字は意外と思い出せない
うまい	うまいものを食べると幸せな気分になります
幸	幸せとは星が降る夜とまぶしい朝が繰り返すようなものじゃなく、肉を食べることだ
人	人という字は互いに支えあって人となるんだ、このバカチンが
悲	悲愴感悲愴感このチャンスだけは死んでもはなさないすがりたい
寂し	うさぎだ、寂しくて死ぬんや
恨	Oooh きっと来る　きっと来る　季節は白く　
怖	極上!!めちゃコワ委員長
力	運動会、ウコンの力パワー
やかまし	じゃかしゃぁいぃぃ！！！
麗	大原麗子、中川圭一、はなわくん、SAGA！
うれし	うれしい！たのしい！大好き！
ええ	ええじゃないか
えぐ	えぐえぐのエッグマン
おいし	まいうさんですね
多い	大井町は多いですか？いいえ、少ないです。
大き	小さい秋があれば大きい秋もある
おかし	をかしさMAXでやらさせてもらってます
奥ゆかし	平安美女ですね
おこがまし	おこげはおいしいですね
怒	怒んパッチ
喜	ベートーヴェンのように喜んでおられる
哀	灰原哀のコードネームはシェリー
楽	楽太郎→円楽
幼	コナンじゃあるまいしそんな幼くないでしょ
惜し	ギリギリで負けたねギリギリReal face だよ
押しつけ	爆弾ゲームはそうゆうもの
遅	遅れたときに待ったと言って「ぜんぜん」と返すやつは泥棒
恐	きょうふ‐せいじ〔‐セイヂ〕【恐怖政治】 １ 投獄・拷問・脅迫・処刑などの暴力的な手段によって反対者を弾圧し、政治上の目的を達成する政治。
おとなし	おとなしい人は狙われやすいので適度におかしくなりましょう
おびただし	おびただしい正
重	物理的に重いのか精神的に重いのかの判断に困いっちんぐマチコちゃん
思い	その思い大切にしていきましょう
おもろ	とりまおもろい顔して
おもしろ	おもしろダンスをどうぞ
面白い	とりま面白い話して
輝	きらきらあなたがまぶしくていつから恋が始まったの
限り	LIMITLESS No doubt
果てしな	果～て～し～な～い～あの雲の彼方へ～私をつれていって～
かぐわし	Smells Like Teen Spirit
賢い	あなたが賢者の石じゃ
かたい	堅あげポテトとダイアモンドはだいだい同じかたさ
堅	堅あげポテトは意外と凶器
かったる	一休み一休み、IKKOさん
かなし	今度悲しみのワルツを踊るんだ
かび	かびるんるんだけがるんるんな気分だよね
我慢	我慢ができず殴り懲戒免職。人生休み。
かゆ	蚊に刺されたときはとりあえずばってん付けとけ
かよわ	か弱い人集めてかよわシュランでもやります？
辛い	つらいのかからいのか知らんけど頑張れよ辛島
軽	軽自動車に軽油を入れる奴は今度ハイオク飲め
かわい	結局のところ一番かわいいのは自分
かんばし	かんばという友達がいます
黄	黄色のおしっこはビタミンB2の色、体にビタミン足りてる？
ぎこちな	ぎこちないロボット、ギー子
規則	規則は守るべきですか？
汚	汚物は消毒しましょう
きびし	戦略的撤退もしかたない
きびい	戦略的撤退もしかたない
きもい	きもさ第755421位
きしょい	きしょさ第847399位
気持ち悪	気持ち悪さ第480832位
清い	清盛さま！清盛様！！！
興味深い	あんたはガリレオかい？
きれい	素直にきれいと言えるこころはきれい
きわど	きわどい服を着るのもありよね
極ま	極めたもののみが集うのが後楽園の地下
くさ	草草(くさそう)
くすぐった	くすぐりに負けるのは己の弱さよ
くだらな	だよなー
くど	何度も言われるとそうなっちゃうよね
悔し	ザブングル
狂	狂乱狂乱狂蘭姉ちゃんに近寄ると死
暗い	深淵じゃない？それ
苦し	苦しみからの解放は果たして死なのか
黒	黒はとんでもないものを盗んでいきました。あなたの心です。(銭形警部)
詳し	詳しいことは知らないけど適当にそれっぽく話すのが得意なタイプね。わかる。
だる	ダルビッシュじゃんダルビッシュ紗栄子
けばい	けばいと言って人の親に怒られる友達ありけり
煙	けむりいぬ最強説
険し	険しい顔をしすぎて眉間のしわがグランドキャニオン
恋	作詞・作曲 星野源 プロデュース 星野源 レーベル SPEEDSTAR RECORDS (Victor Entertainment)
好奇	好奇心旺盛なのはいいことだが、三日坊主になるやすい
香ばしい	コーヒー大好き、コヒすき君
声	いい声にあこがれるよね、天龍さんとか
苦し	苦しいとこをすぎれば楽なとこまで行くよ
つよ	新庄～？西岡～？
ほそい	細々と生きる翁に金の竹を
こしょばい	首がだめです
くすぐったい	脇がだめです
子供	でました、あなたの後ろにこどもがみえます。未来です。幸せな家庭ですね。
この上な	最上級です、最上級もが
好まし	そっちのほうがいいと言われたらやるしかない
細か	細かすぎて伝わらないくらいがちょうどええ
怖い	怖いと思うのは今まで経験したことないから
寂し	さびしいのはウサギ
しばれる	あ～しばれるわ～～～
騒がし	パーティーの会場はこちらになります。
塩	辛い塩辛はお好き？
四角	四角い死角を刺客につかれる資格
丸	丸佳浩はとてもいい選手です。丸ポーズ
親	おやおややおや親八百屋
慈悲	聖母じゃん！お聖母。
しぶ	渋谷すばるはどこ行きましたか？
しゃあない	そうゆう時もあるよな
しゃあなし	そうゆう時もあるよね
執念	銭形じゃん
白	何色にも染まるんじゃねぇぞ
しんど	勝手にシンドバットじゃん
辛	辛抱強い辛坊治郎か
酸	酢いも甘いも
ずうずう	ずいずいずっころばしでもやる？
すがすがし	スガシカオ夜空ノムコウ
少	あとこれしかないからの粘り、ねば～る君以上
すご	このすごさに気づくとは、さては君経験者だね？
すさまじ	すさまじすぎて、あなやと言ひけれど
すずし	すずしい広瀬
素晴らし	ディモールト
ずる	ばれなきゃセーフっていうやつは人間的にどうか
するど	鋭いナイフと鋭い指摘で勝負したら勝つのは狩野英孝
せこ	せこせこ瀬古利彦
せつな	愛しさと切なさと心強さと
狭い	狭間で戦ってんのか？桶狭間か？
広い	広島市民球場は広い？
耐え	耐えろ木村多江
絶え	この種が絶えたら希望はない
高い	ミスターイクスペンシブ
ただし	正しい正
頼	頼もう頼朝う
たやす	こんなの赤子赤子
たゆ	たゆたゆ太夫
だらし	一回やろうか「VSだらし」
小さ	小さすぎて読めなぁぁぁい！
ちいさ	小さすぎて読めなぁぁぁい！
近い	遠視？
遠い	近視？
血	ドラキュラじゃーん！久しぶり~
注意	【注意】この先へ立ち入らないこと
つつまし	つつましく生きるすずめ
つべたい	ちべっと
つまらな	ごめんなサイコショッカー
つまんな	ごめんなサイコブレイク
冷た	冷たシュラン2019開催決定
強	強者にすべてのものが集まる仕組み。
つら	つらみが深い
でか	デカレッドはでかいですか？赤井さんと関係ありますか？
びび	びびる大木？
多い	蓮？多すぎ？
照れ	照り焼きチキンはカロリーが高そう
尊い	たっといと読む人はなかなかのやりて
乏し	乏しいボキャブラリーが招いた結果がこれ。
とんでもな	とんでもないことをやり遂げる怪人20面相
ナウい	風の谷のナウイシカ
長	基準は一体どこ
短	基準は一体どこ
嘆か	嘆くのは教会でどうぞ
名残	なごり雪/イルカ
情け	情けをかけない死刑執行人
名高い	名高い鼻が高いパルコ・フォルゴレ
懐か	あなたの懐メロは何ですか？
なつ	おなつじゃんおなつ
生	基本的になんでも生はアウト
なれ	しばらくは距離があるよね
煮	煮物に関してはお料理研究家の先生の本を買いなさい
苦	苦虫って苦い？
にぎわ	賑わってみえるのはまぼろし～
にくい	にくいね～三菱
憎	にくいね～三菱
似	だいたい双子がみんな似てるとおもうなよ
鈍い	鈍い音で殴られた時が一番痛い
忍	忍びとしていきるものは闇に隠れて生きる妖怪人間
ぬく	ぬくぬくと育った植物が温水さんへ
ぬる	ぬるいってのが一番いやだ
妬	妬みとかは一番よくないよ
粘	ねば～る君てどんぐらいのびんお
根	深い根っこのようだねまるで
眠	眠い時は目にタバスコ
残	残り物には福があるか実際に検証してみた
望	さては見えないものを見ようとしてる？
呪い	さだ子はさだまさしの呪い
のろ	亀のスピードはボルト以上！？
はかな	はかないハカ
ばか	ぶちころがすぞ
激	はげしい零時のアウトレイジビヨンド
恥ず	顔面まっかちん
はずい	顔面マッカーサー
はなはだ	はなはだ裸
はなばな	華々しい中華花畑牧場
早い	早起きは三文の徳
低い	意識低すぎ低杉君
高い	高杉晋作
久し	久し岩隈
ひど	ホリブルピーポー
等し	人類みな平等
ひもじい	紐爺がひもQを食べてるとこを想像しちゃったよ
深い	深みが出るよねお湯につけると
ふがいな	ふがいない結果に終わってしまって申し訳ありませんでした。
ふさわし	君が王にふさわしい
太	太すぎてもいけない
古	古くてもいいものはあるよ
へなちょこ	ちょっとおいしそう
ほこり	ほこりってなんか微妙なものよね
ほしい	ほしい千がほしい
細	細すぎてもちょっとやだ
ほほえ	微笑みが悲しいね
紛らわし	もっとわかりやすいようにしてよ
まずい	まずい？そう思ってるのはあなただけでは？
貧	貧民街スタイル、レンチで殴る。1マス進む。
間近	テレビで見るよりかわいいですね
まば	まばゆすぎて見えない
まぶ	まぶしすぎて見えない
短い	長く短い祭をたのしみましょう
みず	みずみずみずしい水はもはや何？
みっともな	ちゃんとした服を着なさい
醜い	最後には白鳥になるんだよ
むごい	悲しい事件が続きますよね
むつか	おつむが弱くて頭におむつはいてパンパース
むつまじ	高橋ジョージと三船美佳はなんだったの？
遊	いっしょに遊ぼう！じゃあひとりかくれんぼね！
むなし	何とも言えない時もあるよね
目ざと	これは魔法のランプだよ、いい目してるねお客さん
珍	珍百景にでも登録していいですか？あなたの顔
めでた	めで鯛をエビで鶴
めんこ	めんこい女の子がいたら紹介してください
めんど	めんどいことは後回しにするとこうなっちゃうよ？なりたくないでしょ
申し訳な	もうしわけなし男
ごめ	ごめんなサウルス（学名：Gomenosaurus）
すまん	警察はいりますか？
すみません	警察はいりますか？
もったいな	ワンガリ・マータイさん MOTTAINAI
もっとも	もっともらしい言葉だけで進めるほど甘くないですよ田中さん
もどか	もどかしも土立地
物言い	2:50
もろい	ガラスの正念寺
やさし	やさしい王様にガッシュはなれましたか？
野菜	野菜 トマト にんじん WOWWOWWOW シスターズ！YEAH！YEAH！
安い	安いうまい早いという世界からきました
ややこ	野村萬斎
やわら	ママでも金
ゆかしい	いとをかし趣がありますね
ゆゆし	これはまずいですぞ～～
ゆる	ゆるふわだな、悪くない
立	ジョー立てえ… いま立ってリングに上がっちまえばおめえの勝ちなんだ お願いだ立ってくれえジョオーッ！
圧倒	圧倒的感謝...！ペリカを差し上げます
悪魔	「ううっ・・・」 「キンキンに冷えてやがるっ・・・！」 「あ・ありがてぇっ・・・」 「涙が出るっ・・・」 「悪魔的だ・・・うますぎる・・・」 「染みこんできやがる・・・体に・・・」 「ぐっ・・・溶けそうだ・・・」 「本当にやりかねない・・・ビール一本のために・・・強盗だって・・・」
犯罪	「ううっ・・・」 「キンキンに冷えてやがるっ・・・！」 「あ・ありがてぇっ・・・」 「涙が出るっ・・・」 「犯罪的だ・・・うますぎる・・・」 「染みこんできやがる・・・体に・・・」 「ぐっ・・・溶けそうだ・・・」 「本当にやりかねない・・・ビール一本のために・・・強盗だって・・・」
ビール	「カイジが買ったのは……….ビール1本……..!しかし1本飲んだらもう止まらない……..!気が付けば……….豪遊っ….!カイジ、2日続けて豪遊っ….!」
きつ	きついと思ってからの一歩
よい	よいではないか～～～～
悪い	「悪・即・斬（あく・そく・ざん）」/斎藤一
よし	りっぱだ。上等だ。
あし	悪い。
用心	用心棒門を開けろぉー！
よそよそ	自分の家、家族のように過ごしてくれ
よろし	まずまずだ。まあよい。悪くない。
悪し	よくない。好ましくない。感心できない。
わろし	よくない。好ましくない。感心できない。
死	死を考えるとどうしても寝れなくなります
弱	弱者にあるのは死のみ、強くあれ
凛々	リンリンリリン　リンリンリンリン　リンリンリンリンリン
礼儀正し	まるであなたは武道の達人シンデレラ
若い	まるで牛若丸ね、弁慶アタック！
わかり	Osamu Hyashi with Akira Ikegami100%
分かり	Osamu Hyashi with Akira Ikegami100%
わかわか	まるで牛若丸ね、弁慶アタック！
わざと	ネイマールJr
わずらわ	蝿のマスターヨーダ「ブーン、ブーン」
忘	忘却曲線に逆らえう坊主
わびし	わびしさを感じる夜もあるじゃない
割り切	割り切れないこともあるよな、そしたら戦え、血を流せ。
じい	山へ芝刈り翁
ばあ	川へ洗濯婆
弟	兄より優れた弟なぞ存在しない
兄	長兄ラオウ
妹	うちの三姉妹、フー、スー、チー、ポン、カン、メン、タンピン、ドラ、ドラ、満貫
姉	うちの三姉妹、フー、スー、チー、ポン、カン、メン、タンピン、ドラ、ドラ、満貫
母	おかさんありがとう
父	おとさんありがとう
損	正義ね孫
好き	好きージャンプ ふなきぃ～、ふなきぃ～
読めな	小さすぎて読めなぁぁぁい！
クイズ	パンはバナナでもでも食べられないジェニファー・ローレンスはグラシアス？
くいず	朝は4本昼は2本夜は3本コリアーンダ？スパイス！！！
ぷち	012―444―ぷちぷちうるうる
プチ	012―444―ぷちぷちうるうる
やめて	やめてよしこ沢田研二夏目漱石あんたなんてキメラマンジョセフロビンソン
男	きばってこーぜ　イェイ　イェイ　イェイ
女	女女の奇妙な冒険
なるほど	なるほど!ザ・ワールド 時をとめた
かっこい	かっこいい(嘘)(かっこうそ)(かっこかっこうそ)
言	言うは易く行うは難しよ
無視	ちがうよあえて答えないって対応だよ
物知り	博士と呼んでくれよ
知	基本的には豆柴と同じ属性
ウンウン	ウンウンデジュネ・デ・ハポン
やだ	文句を言うね矢田亜希子だね
ゲーム	バトルロワイアルとか？
やば	やばたにえんの味噌煮込みうどんじゃん
ほう	ほっほっほメリクリ/BoA
かろうじて	意外と何とかなるものだよね
学校	屋上にいたらV6来るかな
こわい	極上!!めちゃコワ委員長
なにそれ	まあ俺なりの解釈の仕方でしゃべってる
そういうこと	そこはしょうゆうことやろ
どうした	ちょっとマテ茶、オーバーヒートした。
大丈夫	大丈夫、太政ぶ大臣だから
放置	ホーチー民族じゃん
パソコン	パーソナルこんちゃーす
ない	ナイジェリア
ある	アルジェリア
はい	うぃ
